scac,pol,pod,tsp,service_codes
COSU,BDCGP,CAHAL,SGSIN,CGX4;AWE5
COSU,BDCGP,CAHAL,SGSIN,YCX;AWE5
MAEU,PHMNL,FRLEH,CNYTN,;
MAEU,VNVUT,MXLZC,HKHKG,;
MAEU,VNVUT,MXLZC,HKHKG;CNSHA,;AC3;
MSCU,DEHAM,EGALY,GRPIR,;
MSCU,MYPEN,USJAX,SGSIN,;
MSCU,ITBRI,CAMTR,ITGIT,;CANADA EXPRESS 1
MSCU,CNTXG,THLCH,,
ONEY,MMRGN,CAVAN,SGSIN,SMM;PN2
ONEY,USHOU,BRSSZ,,ANG
COSU,MMRGN,AUSYD,MYPKG,;AAA2
COSU,MMRGN,AUSYD,MYPKG,;ASAL
COSU,MMRGN,AUSYD,SGSIN,VMS1;AAA2
COSU,MMRGN,AUSYD,SGSIN,VMS1;AAA1
COSU,MMRGN,AUSYD,SGSIN,VMS1;ASAL
COSU,MMRGN,AUSYD,SGSIN,;AAA2
COSU,MMRGN,AUSYD,SGSIN,;AAA1
COSU,MMRGN,AUSYD,SGSIN,;ASAL
COSU,BEANR,AEAUH,AEKHL,
MAEU,ROCND,JPYOK,EGPSE;SGSIN;CNSHA,;AE11;;
MAEU,ZACPT,KWSWK,AEJEA,;
MSCU,ESVLC,BRSSA,,
MSCU,NLRTM,ILHFA,,
MSCU,ITCTA,JPTYO,ITGIT;KRPUS,;;
ONEY,THLCH,USLAX,,PS7
ONEY,USHOU,COCNR,,ANG
ONEY,VNHPH,ARBUE,CNNGB,CCX;SX1
ONEY,VNHPH,ARBUE,SGSIN,;SX2
ONEY,VNHPH,ARBUE,SGSIN,;SX1
COSU,SGSIN,GBSOU,,AEU6
COSU,SGSIN,GBSOU,GBFXT,AEU5
COSU,SGSIN,GBSOU,GBFXT,AEU1
COSU,BEANR,CNFOC,CNNGB;CNJGY,AEU6;CF21
COSU,BEANR,CNFOC,CNNGB,AEU6;CF21
COSU,BEANR,CNFOC,CNNGB;CNJGY,AEU3;CF21
COSU,BEANR,CNFOC,CNNGB,AEU3;CF21
COSU,BEANR,CNFOC,CNNGB,;CF21
COSU,BEANR,CNFOC,CNNGB;CNJGY,;CF21
MAEU,TWKHH,MXZLO,KRPUS,;
MAEU,ZACPT,SADMM,AEJEA,;
MSCU,GBGRG,USSAV,BEANR,ANTWERP - TEESPORT - GRANGEMOUTH SERVICE;
MSCU,NLRTM,KRKAN,,
MSCU,ITNAP,JPTYO,ITGIT;SAKAC;KRPUS,;;;
ONEY,KRPUS,USLGB,,CP8
ONEY,KRPUS,USLGB,,PS6
COSU,TRALI,BEANR,,
COSU,TRALI,BEANR,GRPIR;FRFOS,AGX;AEM1
COSU,BEANR,ILHFA,,NET2
MAEU,VNSGN,FRFOS,SGSIN;ESBCN,;AE11;
MAEU,ZACPT,SGSIN,AEJEA,;AE11
MSCU,ILHFA,FRLEH,,
MSCU,SEGOT,MXZLO,BEANR;PTSIE,;;
MSCU,ITRAN,TRGEM,,
ONEY,NLRTM,JPTYO,,
ONEY,USNYC,PLGDY,DEHAM,AL2;
ONEY,USNYC,PLGDY,NLRTM,AL2;
COSU,TWKHH,CAVAN,,EPNW
COSU,TWKHH,CAVAN,CNNGB,CTW1;CPNW
COSU,TWKHH,CAVAN,,OPNW
COSU,BEANR,PAMIT,,EWX
MAEU,ZADUR,BEANR,NLRTM,;
MSCU,INHZA,DEHAM,INMUN,;
MSCU,TRGEB,USLAX,PTSIE,;
MSCU,ITSPE,USPHL,ESBCN,;
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;MD3;AX1
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;MD1;AX2
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;MD3;AX2
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;SX1;AX2
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;MD2;AX1
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;MD1;AX1
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;SX1;AX1
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;AR1;AX1
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;MD2;AX2
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;AG3;AX2
ONEY,INMAA,MXLZC,SGSIN;KRPUS,CCX;AG3;AX1
ONEY,USNYC,SAJED,,IEX
MSCU,NZTRG,GBLGP,SGSIN,CAPRICORN SERVICE;
MSCU,ITNAP,MXVER,,
MSCU,CNXMN,ITGIT,,
ONEY,MMRGN,MXLZC,SGSIN;KRPUS,SMM;SX1;AX1
OOLU,CNTXG,USLGB,KRPUS,;;PCC1;
OOLU,CNTXG,USLGB,CNTAO;USLAX,;NTX;PCN3;
OOLU,CNTXG,USLGB,KRPUS,;CIX3;PCC1;
OOLU,CNTXG,USLGB,,;PCN1;
OOLU,CNTXG,USLGB,CNTAO;USLAX,;PCN1;PCN3;
SEJJ,TRMER,FIHEL,EGPSE;DEBRV,;;
ANNU,USOAK,NZAKL,,
CMDU,JPNGO,SIKOP,SGSIN,;BEX2
CMDU,JPNGO,SIKOP,KRPUS,;BEX2
CMDU,JPNGO,SIKOP,CNSHK,;BEX2
MSCU,PECLL,USSAV,PACTB,;
MSCU,ITNAP,ZACPT,PTSIE;ZAZBA,CANADA EXPRESS 1;;SHOSHOLOZA FEEDER
MSCU,ITNAP,ZACPT,PTSIE;ZAZBA,;;SHOSHOLOZA FEEDER
MSCU,CNYTN,DKFRC,BEANR,LION SERVICE;
MSCU,CNYTN,DKFRC,BEANR,;
ONEY,TWKHH,GBSOU,,FE3
OOLU,CNWUH,DEHAM,CNSHA,;LL7;
OOLU,CNWUH,DEHAM,CNNGB,;LL2;
OOLU,CNWUH,DEHAM,CNNGB;DEWVN,;LL1;
OOLU,CNWUH,DEHAM,CNSHA,;LL2;
OOLU,CNWUH,DEHAM,CNSHA,;LL4;
OOLU,CNWUH,DEHAM,CNSHA,;LL6;
OOLU,CNWUH,DEHAM,CNSHA,;LL3;
SEJJ,TRMER,ITAOI,ITTRS,;
ANNU,VNHPH,AUFRE,SGSIN,;AAXWANL
ANNU,VNHPH,AUFRE,SGSIN,;AAXSANL
CMDU,MXVER,TTPOS,JMKIN,ALTAMIRA;CAGML2
CMDU,MXVER,TTPOS,JMKIN,BRASEX;CAGML2
ONEY,VNHPH,FRFOS,CNSHK,TVH;MD2
ONEY,VNHPH,FRFOS,SGSIN,;MD2
ONEY,MXATM,ARBUE,,ANG
MSCU,ITSPE,USJAX,BSFPO,;
MSCU,CNYTN,HRRJK,SGSIN,;
ONEY,CNTAO,DEHAM,,FE4
ONEY,VNCMT,AUMEL,SGSIN,EC5;AU1
ONEY,VNCMT,AUMEL,SGSIN,FE5;AU1
ONEY,VNCMT,AUMEL,SGSIN,;AU1
OOLU,CNYTN,FRFOS,,;WM1;
SEJJ,BEANR,EGALY,,
ANNU,AUSYD,CNNSA,CNSHK,;
CMDU,PHMNL,CAHAL,SGSIN,;CJX
MSCU,PLGDN,KRPUS,CNSHA,;
MSCU,ITTRS,JPMOJ,KRPUS,;
MSCU,CNYTN,NZLYT,SGSIN,;
ONEY,VNUIH,JPTYO,SGSIN,;JID
ONEY,VNUIH,JPTYO,SGSIN,;JSM
OOLU,CNYZH,BEANR,CNSHA;NLRTM,;LL5;
OOLU,CNYZH,BEANR,CNSHA,;LL5;
OOLU,CNYZH,BEANR,CNSHA;NLRTM,;LL2;
OOLU,CNYZH,BEANR,CNSHA,;LL2;
OOLU,CNYZH,BEANR,CNSHA;NLRTM,;LL6;
OOLU,CNYZH,BEANR,CNSHA;NLRTM,;LL4;
OOLU,CNYZH,BEANR,CNSHA,;LL7;
OOLU,CNYZH,BEANR,CNSHA;NLRTM,;LL7;
OOLU,CNYZH,BEANR,CNSHA;NLRTM,;LL3;
SEJJ,DEHAM,DZALG,MAPTM,;;
ANNU,AUSYD,THBKK,SGSIN,;
ANNU,AUSYD,THBKK,SGSIN,AAXEANL;
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;FAL3
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;FAL6
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;FAL2
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;FAL8
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;NEWMO
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;
CMDU,THSA1,NLRTM,THSGZ;SGSIN,;;FAL7
MSCU,SEGOT,MXATM,DEBRV,;
MSCU,JOAQJ,GBSOU,SAKAC;INMUN,RED SEA FEEDER SERVICE 2;;
MSCU,CNYTN,NZTRG,SGSIN,;CAPRICORN SERVICE
ONEY,ZADUR,NLRTM,,SRX
OOLU,IDSUB,AUSYD,SGSIN,;;AAA1;
OOLU,IDSUB,AUSYD,SGSIN,;;ASA;
OOLU,IDSUB,AUSYD,SGSIN,;;AAA2;
OOLU,IDSUB,AUSYD,SGSIN,;SBY2;AAA1;
OOLU,IDSUB,AUSYD,SGSIN,;SBY2;ASA;
OOLU,IDSUB,AUSYD,SGSIN,;SBY2;AAA2;
OOLU,IDSUB,AUSYD,MYPKG,;ITS;AAA2;
OOLU,IDSUB,AUSYD,MYPKG,;CIS;ASA;
OOLU,IDSUB,AUSYD,SGSIN,;ITS;AAA1;
OOLU,IDSUB,AUSYD,SGSIN,;ITS;ASA;
OOLU,IDSUB,AUSYD,MYPKG,;ITS;ASA;
OOLU,IDSUB,AUSYD,SGSIN,;ITS;AAA2;
SEJJ,DEHAM,EGEDK,TRAMR,;
ANNU,CNTAO,NZAKL,CNSHK,;
CMDU,USLAX,JPTYO,,FUJI
MSCU,SEGOT,MYPKG,SGSIN,;
MSCU,JPTYO,USOAK,KRPUS,;
MSCU,JPTYO,USOAK,VNVUT,;SENTOSA
MSCU,CNYTN,SEHEL,BEANR,LION SERVICE;
MSCU,CNYTN,SEHEL,BEANR,;
ONEY,BDCGP,DEHAM,LKCMB,;FE5
ONEY,BDCGP,DEHAM,SGSIN,BAS;FE5
ONEY,BDCGP,DEHAM,SGSIN,BAS;
OOLU,NLRTM,EGEDK,BEANR;EGDAM,;IP3;;
OOLU,NLRTM,EGEDK,EGDAM,;IP3;;
OOLU,NLRTM,EGEDK,,;NET2;
OOLU,NLRTM,EGEDK,BEANR,;NET2;
SEJJ,ESALG,NOOSL,DEBRV,;
ANNU,CNWHI,NZAKL,CNSHA,;
CMDU,VNVUT,NOOSL,NLRTM,FAL7;NORWAY
CMDU,VNVUT,NOOSL,NLRTM,FAL3;NORWAY
MSCU,SGSIN,ILASH,,
ONEY,BEANR,ILASH,EGDAM,IO3;
OOLU,NZTRG,JPTYO,,;JKN;
OOLU,NZTRG,JPTYO,SGSIN,;NZS;KTX3;
SEJJ,ESBCN,EGALY,,
ANNU,INNSA,AUBNE,SGSIN,;AAXEANL
CMDU,ZADUR,INHZA,INMUN,MIDAS1;
CMDU,ZADUR,INHZA,INMUN,MIDAS2;
ONEY,MYTPP,USNYC,SGSIN,AU1;EC5
ONEY,MYTPP,USNYC,SGSIN,NZ1;EC5
ONEY,MYTPP,USNYC,SGSIN,NZ1;
ONEY,MYTPP,USNYC,SGSIN,AU1;
MSCU,TWKHH,USNYC,KRPUS,;
MSCU,TWKHH,USNYC,CNNGB,TAIWAN - NINGBO FEEDER SERVICE;
MSCU,TWKHH,USNYC,SGSIN,;
MSCU,KRPUS,PAROD,,
ONEY,GBSOU,KRPUS,,FE2
ONEY,BEANR,VNHPH,SGSIN,FE3;
ONEY,BEANR,VNHPH,TWKHH,FE3;JVH
ONEY,BEANR,VNHPH,HKHKG,FE3;VH5
ONEY,BEANR,VNHPH,SGSIN,FE4;
ONEY,BEANR,VNHPH,SGSIN,FE4;PN2
OOLU,THLCH,JPYOK,,;KTX2;
SEJJ,ESBCN,ILHFA,,
ANNU,JPYOK,AUMEL,,
CMDU,BDCGP,ESBCN,SGSIN,;MEX
CMDU,BDCGP,ESBCN,SGSIN;MTMLA,;TLX;MEDEX
MSCU,USCHS,AUSYD,,
MSCU,KRPUS,USBAL,,
MSCU,KRPUS,USBAL,,SANTANA SERVICE
OOLU,THLCH,QAHMD,SGSIN,;ITS;ME1;
OOLU,THLCH,QAHMD,SGSIN;AEJEA,;;ME5;EM3;
OOLU,THLCH,QAHMD,SGSIN,;AAA1;ME1;
OOLU,THLCH,QAHMD,SGSIN,;TCX;ME1;
OOLU,THLCH,QAHMD,SGSIN,;VTS;ME1;
SEJJ,FIHEL,EGALY,DEBRV,;
ANNU,NZNSN,AUBNE,NZTRG,;
CMDU,CAVAN,HKHKG,,TWPKS
CMDU,CAVAN,HKHKG,,DAH
MSCU,USLAX,NLRTM,PAROD,;
MSCU,LVRIX,BRRIG,BEANR,;
ONEY,CNNGB,ITGOA,,MD1
ONEY,CNNGB,ITGOA,,MD2
OOLU,BEANR,CNDLC,NLRTM;MYPKG,;LL4;CSS1;
OOLU,BEANR,CNDLC,NLRTM;KRPUS,;LL4;PKOR;
OOLU,BEANR,CNDLC,NLRTM,;LL2;
OOLU,BEANR,CNDLC,,;LL2;
OOLU,BEANR,CNDLC,NLRTM;SGSIN,;LL3;CSS1;
OOLU,BEANR,CNDLC,BEZEE;SGSIN,;LL1;CSS1;
OOLU,BEANR,CNDLC,BEZEE;SGSIN,;LL3;CSS1;
SEJJ,FIHEL,EGEDK,DEBRV;TRAMR,;;
ANNU,NZTRG,AUFRE,AUMEL,;AAXSANL
CMDU,CLSAI,SESTO,DEHAM,WCC;
MSCU,USORF,AUFRE,MYTPP,;CAPRICORN SERVICE
MSCU,MXZLO,AUBNE,PAROD;PABLB;NZTRG,;;;CAPRICORN SERVICE
ONEY,CNSHA,USHOU,,EC6
OOLU,CNNGB,USLAX,USLGB,;PCC1;
OOLU,CNNGB,USLAX,,;PCN3;
OOLU,CNNGB,USLAX,USLGB,;VCS;
SEJJ,FIKTK,EGALY,DEBRV,;
ANNU,PHMNL,AUADL,SGSIN,;AAXSANL
CMDU,CNSHA,USHOU,,GMXP
CMDU,CNSHA,USHOU,,PEX3
MSCU,VNHPH,USBAL,MYTPP,;
MSCU,VNHPH,USBAL,,SANTANA SERVICE
MSCU,VNHPH,USBAL,CNSHA,SANTANA SERVICE;
MSCU,MYPEN,GBTEE,MYTPP;BEANR,;LION SERVICE;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
MSCU,MYPEN,GBTEE,MYTPP;BEANR,;;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
ONEY,CNTAO,CAPRR,,PN4
OOLU,DEHAM,CNNGB,,;LL4;
OOLU,DEHAM,CNNGB,DEWVN,;LL1;
OOLU,DEHAM,CNNGB,,;LL6;
OOLU,DEHAM,CNNGB,,;LL2;
OOLU,DEHAM,CNNGB,,;LL7;
SEJJ,GEPTI,PLGDN,TRAMR;DEBRV,;;;
ANNU,THBKK,NZTRG,SGSIN,;
CMDU,CNTAO,ITVCE,MTMLA,MEX;ADRINAF
CMDU,CNTAO,ITVCE,CNSHA;MTMLA,MEX;TLX;ADRINAF
ONEY,ZACPT,SGSIN,,SAS
ONEY,TRALI,USNYC,,EMA
MSCU,ZACPT,GBTEE,BEANR,;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
MSCU,MYPEN,HRRJK,SGSIN,;
ONEY,FRLEH,SGSIN,,
ONEY,FRLEH,SGSIN,,FE2
MSCU,CNLYG,ROCND,KRPUS;TRTEK,;;
ONEY,COBUN,CLSAI,,AX2
OOLU,IEORK,MXVER,BEANR,;AIE;ATG1;
SEJJ,ILASH,FIHEL,DEBRV,;
ANNU,AUADL,USOAK,AUMEL,;
ANNU,AUADL,USOAK,,
ANNU,AUADL,USOAK,NZTRG,;
CMDU,CNTXG,LTKLJ,DEHAM,FAL8;SWX2
CMDU,CNTXG,LTKLJ,DEHAM,FAL8;
MSCU,AEJEA,USSAV,,
MSCU,NLRTM,MYPKG,SGSIN,;
ONEY,DEHAM,CNTAO,,FE4
OOLU,INNSA,GBSOU,GBLGP,;IP2;
OOLU,INNSA,GBSOU,,;IP1;
SEJJ,ITSAL,FIHEL,ESALG;DEBRV,;;
ANNU,CNNGB,AUFRE,SGSIN,;AAXWANL
CMDU,CNWHI,NLRTM,CNSHA,;FAL2
CMDU,CNWHI,NLRTM,CNSHA,;FAL6
CMDU,CNWHI,NLRTM,CNSHA,;FAL3
CMDU,ESALG,AUADL,MTMLA,;NEWMO
CMDU,ESALG,AUADL,MTMLA,BSMAR;NEWMO
CMDU,ESALG,AUADL,MYPKG,;
MSCU,BEANR,CAHAL,,
MSCU,NLRTM,TZDAR,SAKAC,;
ONEY,DEHAM,MYPGU,SGSIN,FE4;PG1
ONEY,DEHAM,MYPGU,SGSIN,;PG2
ONEY,DEHAM,MYPGU,SGSIN,FE5;PG2
ONEY,DEHAM,MYPGU,SGSIN,FE5;PG1
OOLU,JPYOK,CNSHA,HKHKG,;KTX2;CPX;
OOLU,JPYOK,CNSHA,HKHKG,;KTX2;CIX3;
OOLU,JPYOK,CNSHA,,;TLP1;
OOLU,JPYOK,CNSHA,,;A3N;
OOLU,JPYOK,CNSHA,SGSIN,;KTX5;CIX3;
OOLU,JPYOK,CNSHA,,;;
SEJJ,ITVCE,ILHFA,,
ANNU,CNNKG,AUADL,CNSHA;SGSIN,;;AAXSANL
CMDU,COBUN,CLSAI,,AMERXL
MSCU,BEANR,JPYOK,SGSIN;KRPUS,LION SERVICE;IPANEMA SERVICE;
ONEY,ESBCN,JPTYO,SGSIN,MD1;JID
ONEY,ESBCN,JPTYO,SGSIN,MD1;
ONEY,ESBCN,JPTYO,SGSIN,MD1;JSM
ONEY,ESBCN,JPTYO,SGSIN,MD2;JID
ONEY,ESBCN,JPTYO,SGSIN,MD2;JSM
ONEY,ESBCN,JPTYO,SGSIN,MD2;
OOLU,MXATM,NLRTM,BEANR,;ATG1;
OOLU,MXATM,NLRTM,,;ATG1;
SEJJ,MACAS,DEHAM,MAPTM,CASABLANCA SERVICE;
ANNU,JPTYO,AUFRE,MYPKG,;AAXWANL
CMDU,DEHAM,NZAKL,MYPKG,;KIX
MSCU,BRPEC,GBLGP,BRSSA,;
MSCU,PHMNN,USSEA,KRPUS,;CHINOOK
ONEY,INPAV,USLAX,,PS3
OOLU,MYPGU,CNSHA,MYPKG,;VJS;ME5;
OOLU,MYPGU,CNSHA,MYPKG;CNNGB,;VJS;CPX;
OOLU,MYPGU,CNSHA,SGSIN,;VJS;CIX3;
OOLU,MYPGU,CNSHA,MYPKG,;VJS;CIX3;
OOLU,MYPGU,CNSHA,,;CSS3;
ANNU,KHPNH,AUMEL,VNSGN;SGSIN,;;AAXSANL
CMDU,DKFRC,ANPHI,DEHAM;FRLEH,;NCLEVANT;
CMDU,DKFRC,ANPHI,DEHAM;NLRTM,;NCLEVANT;
CMDU,DKFRC,ANPHI,DEHAM;NLRTM,;;
ONEY,AEJEA,NLRTM,,IOS
ONEY,AEJEA,NLRTM,,IO2
ONEY,TWKEL,COBUN,KRPUS,AX1;AX2
ONEY,TWKEL,COBUN,KRPUS,AX1;AX3
MSCU,BRPNG,MXVER,,
MSCU,PKBQM,BEANR,,
MSCU,PKBQM,BEANR,INMUN,;
ONEY,BEANR,AEJEA,,IO2
ONEY,BEANR,AEJEA,,IOS
MSCU,CNLYG,TRYAR,KRPUS,;
OOLU,MYPGU,INNSA,MYPKG,;VJS;CIX1;
OOLU,MYPGU,INNSA,SGSIN,;VJS;CIX3;
ANNU,NZTRG,INNSA,SGSIN,;
CMDU,EGDAM,SAJED,,MEDEX
CMDU,EGDAM,SAJED,,MEGEM
CMDU,EGDAM,SAJED,MTMLA,;MEX
MSCU,BRRIO,USHOU,,
MSCU,PTSIE,GBFXT,,
ONEY,MXATM,BRSSZ,,ANG
OOLU,TRGEB,BEANR,,;NET;
OOLU,TRGEB,BEANR,DEHAM;NLRTM,;NET;LL6;
SEJJ,TRIZM,FIRAU,DEBRV,;
ANNU,PHGES,AUSYD,SGSIN,;AAXSANL
ANNU,PHGES,AUSYD,SGSIN,;AAXEANL
ANNU,PHGES,AUSYD,HKHKG;SGSIN,;;AAXSANL
ANNU,PHGES,AUSYD,HKHKG;SGSIN,;;AAXEANL
CMDU,ESALG,NZAKL,MYPKG,;KIX
MSCU,BRSSZ,ARBUE,,
MSCU,SEGOT,AUBNE,SGSIN,;
MSCU,DEBRV,BHKBS,BEANR;AEAUH,;;
ONEY,NLRTM,USORF,,AL2
OOLU,USSAV,DEBRV,,;ATE1;
OOLU,USSAV,DEBRV,DEHAM,;ATE1;;
SEJJ,TRIZM,LTKLJ,DEBRV,;
ANNU,CNYQS,NZAKL,CNSHK,;
CMDU,IDBLW,USLAX,SGSIN,;CJX
CMDU,IDBLW,USLAX,MYPKG,;CJX
MSCU,BRSSZ,PACTB,,
MSCU,SGSIN,GRPIR,,
MSCU,DEBRV,NZTRG,MYTPP,;CAPRICORN SERVICE
ONEY,NLRTM,VNSGN,SGSIN,FE5;VSS
ONEY,NLRTM,VNSGN,SGSIN,FE4;VSS
ONEY,NLRTM,VNSGN,SGSIN,FE3;VSS
ONEY,NLRTM,VNSGN,SGSIN,FE2;VSS
OOLU,VNHPH,NLRTM,SGSIN,;;LL6;
OOLU,VNHPH,NLRTM,SGSIN,;VJS;LL6;
OOLU,VNHPH,NLRTM,SGSIN,;;LL5;
OOLU,VNHPH,NLRTM,SGSIN,;;LL2;
OOLU,VNHPH,NLRTM,SGSIN,;VJS;LL2;
OOLU,VNHPH,NLRTM,SGSIN;BEANR,;VJS;LL7;
OOLU,VNHPH,NLRTM,SGSIN,;VJS;LL5;
OOLU,VNHPH,NLRTM,SGSIN;BEANR,;VJS;LL2;
OOLU,VNHPH,NLRTM,SGSIN,;VJS;LL7;
OOLU,VNHPH,NLRTM,SGSIN,;VJS;LL3;
OOLU,VNHPH,NLRTM,SGSIN;BEANR,;VJS;LL5;
OOLU,VNHPH,NLRTM,SGSIN,;VJS;LL4;
OOLU,VNHPH,NLRTM,HKHKG,;HPH2;LL3;
OOLU,VNHPH,NLRTM,SGSIN;BEANR,;;LL7;
OOLU,VNHPH,NLRTM,SGSIN,;;LL7;
OOLU,VNHPH,NLRTM,SGSIN,;;LL4;
OOLU,VNHPH,NLRTM,SGSIN,;;LL3;
SEJJ,BEANR,MAPTM,,
ANNU,CNTXG,AUFRE,CNSHA;SGSIN,;;AAXWANL
ANNU,CNTXG,AUFRE,SGSIN,;AAXWANL
CMDU,SGSIN,BRSSZ,MAPTM,CJX;SIRIUS
CMDU,SGSIN,BRSSZ,GBLGP,NEWMO;SAFRAN1
CMDU,SGSIN,BRSSZ,MAPTM,FAL3;SIRIUS
CMDU,SGSIN,BRSSZ,,SEAS2
CMDU,SGSIN,BRSSZ,,SEAS
CMDU,SGSIN,BRSSZ,ESALG,;SIRIUS
MSCU,CAHAL,SAJED,ESBCN;SAKAC,CANADA EXPRESS 2;;
MSCU,SGSIN,MVMLE,LKCMB,;
MSCU,DEBRV,TWKHH,MYTPP,;
ONEY,PHMNL,KRPUS,,JPH
ONEY,PHMNL,KRPUS,,CTP
OOLU,VNSGN,DEHAM,VNCLI;SGSIN,;VTS;LL6;
OOLU,VNSGN,DEHAM,VNCLI;SGSIN,;VTS;LL2;
OOLU,VNSGN,DEHAM,VNCLI;SGSIN;DEWVN,;VTS;LL1;
OOLU,VNSGN,DEHAM,VNCLI;SGSIN,;VTS;LL7;
OOLU,VNSGN,DEHAM,VNCLI;SGSIN,;VTS;LL3;
OOLU,VNSGN,DEHAM,VNCLI;SGSIN,;VTS;LL4;
OOLU,VNSGN,DEHAM,VNITC;SGSIN,;KTX1;LL6;
OOLU,VNSGN,DEHAM,VNITC;SGSIN,;KTX1;LL2;
OOLU,VNSGN,DEHAM,VNITC;SGSIN,;KTX1;LL7;
OOLU,VNSGN,DEHAM,VNITC;SGSIN,;KTX1;LL3;
OOLU,VNSGN,DEHAM,VNITC;SGSIN,;KTX1;LL4;
OOLU,VNSGN,DEHAM,VNITC;SGSIN;DEWVN,;KTX1;LL1;
OOLU,VNSGN,DEHAM,VNTOT,;LL3;
SEJJ,BEANR,TRAMR,,
ANNU,INMAA,AUBNE,SGSIN,;AAXEANL
CMDU,THLCH,CLSAI,HKHKG,JTX;ACSA3
CMDU,THLCH,CLSAI,CNSHA,;ACSA2
CMDU,THLCH,CLSAI,CNSHA,;ACSA3
MSCU,SVAQJ,BEANR,PAROD,;
MSCU,DEHAM,BRNVT,,
ONEY,FRLEH,PHMNL,SGSIN,;PH2
ONEY,FRLEH,PHMNL,SGSIN,FE2;PH2
MSCU,CNNGB,COCTG,KRPUS;PACTB,ANDES EXPRESS SERVICE;;
ONEY,PHMNL,USLGB,KRPUS,JPH;CP8
ONEY,PHMNL,USLGB,KRPUS,JPH;PS6
ONEY,PHMNL,USLGB,KRPUS,CTP;CP8
ONEY,USLAX,HKHKG,,PS7
OOLU,BEANR,TRMER,NLRTM,;NET2;
OOLU,BEANR,TRMER,,;NET2;
SEJJ,BEANR,TRGEM,,
MSCU,CNDLC,ESVLC,CNNGB,;
MSCU,THLCH,CRCAL,KRPUS;PAROD,;ANDES EXPRESS SERVICE;
MSCU,DEHAM,BRPEC,BRNVT,;
ONEY,SGSIN,JPUKB,,JID
ONEY,SGSIN,JPUKB,,JSM
ONEY,SGSIN,JPUKB,,
ONEY,SGSIN,JPUKB,,JS3
OOLU,CNFOC,JPTYO,CNXMN,;;KTX1;
OOLU,CNFOC,JPTYO,CNXMN,;;JCV;
OOLU,CNFOC,JPTYO,CNXMN,;;KTX3;
OOLU,CNFOC,JPTYO,TWKHH,;;KTX3;
SEJJ,DEBRV,EGALY,,
ANNU,INMUN,NZAKL,MYPKG,;
ANNU,INMUN,NZAKL,SGSIN,;
CMDU,USLAX,TWKHH,,CMX6JDX
CMDU,USLAX,TWKHH,,CJX
MSCU,CNNGB,ZADUR,,
MSCU,DEHAM,CNYTN,,
ONEY,THSGK,USTIW,SGSIN,SGZ;PN2
ONEY,THSGK,USTIW,SGSIN;KRPUS,SGZ;MD3;PN3
ONEY,THSGK,USTIW,SGSIN;KRPUS,SGZ;SX1;PN3
ONEY,THSGK,USTIW,SGSIN;KRPUS,SGZ;MD2;PN3
OOLU,CNNKG,DEHAM,CNSHA,;LL7;
OOLU,CNNKG,DEHAM,CNSHA,;LL2;
OOLU,CNNKG,DEHAM,CNSHA,;LL4;
OOLU,CNNKG,DEHAM,CNSHA,;LL6;
OOLU,CNNKG,DEHAM,CNNGB,;LL2;
OOLU,CNNKG,DEHAM,CNNGB,;LL7;
OOLU,CNNKG,DEHAM,CNNGB,;LL6;
OOLU,CNNKG,DEHAM,CNNGB,;LL4;
OOLU,CNNKG,DEHAM,CNSHA;DEWVN,;LL1;
OOLU,CNNKG,DEHAM,CNSHA,;LL3;
SEJJ,DEHAM,EGALY,BEANR,;
ANNU,MYPEN,AUSYD,SGSIN,;AAXSANL
ANNU,MYPEN,AUSYD,SGSIN,;AAXEANL
ANNU,MYPEN,AUSYD,MYPKG,;AAXSANL
CMDU,USORF,VNVUT,,CJX
CMDU,USORF,VNVUT,CNYTN,CBX;CJX
CMDU,USORF,VNVUT,CNYTN,TWS;CJX
MSCU,CNSHA,CLVAP,,
MSCU,TRALI,AEJEA,GRPIR,;
MSCU,DEHAM,ECGYE,BEANR,;
ONEY,TWKEL,MXZLO,,AX1
OOLU,DEWVN,HKHKG,DEHAM;MYPKG,;LL4;CIX3;
OOLU,DEWVN,HKHKG,CNYTN,;LL1;;
OOLU,DEWVN,HKHKG,SGSIN,;LL1;LL3;
OOLU,DEWVN,HKHKG,SGSIN,;LL1;WM1;
