CARRIER,ORIGIN,DESTINATION,TS1,LEG0
OOLU,USNYC,GBSOU,,;ATE1;
OOLU,USNYC,GBSOU,NLRTM;GBFXT,;ATE1;;
OOLU,USNYC,GBSOU,DEBRV;GBLIV,;ATE1;GEX1;
OOLU,USORF,ITGOA,,;ATM1;
ONEY,ITAOI,PHMNL,GRPIR;SGSIN,;MD2;PH2
ONEY,ITAOI,PHMNL,EGDAM;SGSIN,;MD1;PH2
ONEY,ITAOI,PHMNL,GRPIR;SGSIN,;MD2;PHX
ONEY,ITAOI,PHMNL,EGDAM;SGSIN,;MD1;PHX
ONEY,ITAOI,PHMNL,GRPIR;KRPUS,;MD2;JPH
OOLU,USSAV,AUSYD,HKHKG,;ECX1;A3S;
OOLU,USSAV,AUSYD,SGSIN,;;AAA1;
OOLU,USSAV,AUSYD,CNNGB,;ECX2;A3C;
OOLU,USSAV,SEGOT,NLRTM,;ATE1;SNX1;
OOLU,USSAV,SEGOT,NLRTM,;ATE1;GBD1;
OOLU,VNSGN,AUBNE,VNITC;SGSIN,;KTX1;AAA1;
OOLU,VNSGN,AUBNE,VNITC;SGSIN,;KTX1;ASA;
OOLU,VNSGN,AUBNE,VNCLI;SGSIN,;VTS;ASA;
OOLU,VNSGN,AUBNE,VNCLI;SGSIN,;VTS;AAA1;
ZIMU,PRSJU,MXVER,,CCS
OOLU,VNSGN,GBFXT,VNITC;SGSIN,;KTX1;LL1;
OOLU,VNSGN,GBFXT,VNITC;SGSIN,;KTX1;LL6;
OOLU,VNSGN,GBFXT,VNTOT;GBSOU,;LL5;
OOLU,VNSGN,GBFXT,VNITC;SGSIN;GBSOU,;KTX1;LL5;
OOLU,VNSGN,GBFXT,VNCLI;SGSIN,;VTS;LL1;
OOLU,VNSGN,GBFXT,VNCLI;SGSIN,;VTS;LL6;
OOLU,VNSGN,GBFXT,VNCLI;SGSIN;GBSOU,;VTS;LL5;
ONEY,LTKLJ,INNSA,NLRTM,BBX;IOS
ONEY,LTKLJ,INNSA,NLRTM;SAJED,BBX;IOS;IEX
ONEY,LTKLJ,INNSA,NLRTM,BBX;IO2
ZIMU,ROCND,ILHFA,,LBX
OOLU,VNSGN,NLRTM,VNTOT;BEANR,;LL5;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL6;
OOLU,VNSGN,NLRTM,VNTOT,;LL5;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL2;
OOLU,VNSGN,NLRTM,VNITC;SGSIN;BEANR,;KTX1;LL7;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL3;
OOLU,VNSGN,NLRTM,VNITC;SGSIN;BEANR,;KTX1;LL2;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL7;
OOLU,VNSGN,NLRTM,VNITC;SGSIN;BEANR,;KTX1;LL5;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL4;
OOLU,VNSGN,NLRTM,VNTOT,;LL3;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL6;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL5;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL2;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN;BEANR,;VTS;LL7;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL3;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN;BEANR,;VTS;LL2;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL7;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL4;
ZIMU,SIKOP,ILHFA,,ADE
OOLU,ZADUR,AUFRE,SGSIN,;SAF3;AAA2;
OOLU,ZADUR,AUFRE,SGSIN,;SAF2;AAA2;
ZIMU,THLCH,AUFRE,,TFX
OOLU,AUMEL,CNSHA,,;A3N;
OOLU,AUMEL,CNSHA,,;A3C;
OOLU,AUMEL,CNSHA,CNNGB,;A3C;
ZIMU,USHOU,INMUN,CNSHA,ZGC;CI4
OOLU,BEANR,ILHFA,,;NET2;
OOLU,BEANR,ILHFA,NLRTM,;NET2;
OOLU,BEANR,INMAA,,;IP3;
OOLU,BEANR,INMAA,SAJED,;LL5;IP3;
OOLU,BEANR,INMAA,NLRTM,;IP3;
OOLU,BEANR,INMAA,NLRTM;SAJED,;LL5;IP3;
ONEY,MYPKG,USJAX,SGSIN,TIP;EC5
ONEY,MYPKG,USJAX,SGSIN,JSM;EC5
ONEY,MYPKG,USJAX,SGSIN,TE1;EC5
ONEY,MYPKG,USJAX,SGSIN,PS3;EC5
ZIMU,USSAV,BRNVT,,XNS
OOLU,CAMTR,IEDUB,GBSOU,;GEX2;UIS;
ZIMU,BGVAR,ILASH,TRAMR,LBX;TBX
ZIMU,BGVAR,ILASH,TRALI,LBX;TBX
OOLU,CNCZX,GBSOU,CNSHA;GBFXT,;LL1;
OOLU,CNCZX,GBSOU,CNSHA;GBFXT,;LL6;
OOLU,CNCZX,GBSOU,CNSHA,;LL5;
OOLU,CNCZX,GBSOU,CNNGB;GBFXT,;LL1;
ZIMU,CAHAL,ESVLC,,ZCA
OOLU,CNDLC,AUBNE,CNNGB,;CSS1;A3C;
OOLU,CNDLC,AUBNE,HKHKG,;CHL;A3S;
OOLU,CNDLC,AUBNE,TWKHH,;NTX;A3N;
ZIMU,CNHAK,USORF,CNYTN,;ZXB
ZIMU,CNHAK,USORF,CNYTN,;ZBA
OOLU,CNFQG,NLRTM,CNXMN,;;LL3;
OOLU,CNFQG,NLRTM,CNNGB;BEANR,;;LL2;
ZIMU,CNSHA,KEMBA,SGSIN,SA1;KYX
ZIMU,CNSHA,KEMBA,SGSIN,ASE;KYX
ZIMU,CNSHA,KEMBA,SGSIN,CM1;KYX
ZIMU,CNSHA,KEMBA,SGSIN,TZX;KYX
ZIMU,CNSHA,KEMBA,SGSIN,CI1;KYX
ZIMU,CNSHA,KEMBA,SGSIN,FAX;KYX
ZIMU,CNSHA,KEMBA,SGSIN,CI4;KYX
ZIMU,CNSHA,KEMBA,SGSIN,CI3;KYX
ZIMU,CNSHA,KEMBA,,KYX
ZIMU,CNSHA,KEMBA,SGSIN,CWX;KYX
ZIMU,CNSHA,KEMBA,SGSIN,FA2;KYX
ZIMU,CNSHA,KEMBA,SGSIN,KYX;KYX
ONEY,NLRTM,INCCU,SGSIN,FE4;CU2
ONEY,NLRTM,INCCU,SGSIN,FE4;CCU
ONEY,NLRTM,INCCU,SGSIN,;CCU
ONEY,NLRTM,INCCU,SGSIN,FE2;CCU
ONEY,NLRTM,INCCU,SGSIN,FE2;CU2
ONEY,NLRTM,INCCU,SGSIN,FE3;CCU
ZIMU,CNWUH,USTPA,CNSHA;KRPUS,;ZBA;ZGX
ZIMU,CNWUH,USTPA,CNSHA;KRPUS,;ZGC;ZGX
ZIMU,CNWUH,USTPA,CNSHA;KRPUS,;ZSA;ZGX
OOLU,CNNGB,ESBCN,,;WM2;
ZIMU,ITGOA,MXATM,,MGX
OOLU,CNNGB,ESVLC,,;WM2;
OOLU,CNNGB,ESVLC,,;WM1;
OOLU,CNNGB,ESVLC,,;LL3;
ZIMU,NZAKL,AUMEL,,
OOLU,CNNSA,AUMEL,HKHKG,;;A3S;
ZIMU,TWKHH,USBAL,,ZXB
OOLU,CNNSA,SGSIN,,;CSS2;
OOLU,CNNSA,SGSIN,,;LL3;
OOLU,CNNSA,SGSIN,,;CSS3;
OOLU,CNNSA,SGSIN,,;ME5;
ZIMU,VNSGN,MXVER,VNTOT;JMKIN,;ZXB;CCS
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL6;GBE1;
OOLU,CNSHA,DKAAR,DEHAM,;LL7;GBE1;
OOLU,CNSHA,DKAAR,DEHAM,;LL7;;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL4;GBE1;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL4;;
OOLU,CNSHA,DKAAR,DEHAM,;LL2;;
OOLU,CNSHA,DKAAR,DEHAM,;LL2;GBE1;
OOLU,CNSHA,DKAAR,DEHAM,;LL3;GBE1;
OOLU,CNSHA,DKAAR,DEHAM,;LL3;;
OOLU,CNSHA,DKAAR,DEHAM,;LL4;GBE1;
OOLU,CNSHA,DKAAR,DEHAM,;LL4;;
OOLU,CNSHA,DKAAR,DEHAM,;LL6;GBE1;
OOLU,CNSHA,DKAAR,DEHAM,;LL6;;
OOLU,CNSHA,DKAAR,DEWVN,;LL1;;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL2;;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL2;GBE1;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL7;GBE1;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL7;;
OOLU,CNSHA,DKAAR,CNNGB;DEHAM,;LL3;GBE1;
MAEU,ZAPLZ,DEHAM,NLRTM,;
ZIMU,CAHAL,ILHFA,,ZCA
OOLU,CNSHA,TRIST,TRAMR,;EM1;
OOLU,CNSHA,TRIST,CNNGB;TRAMR,;EM1;
ZIMU,CAVAN,JPNGO,KRPUS,ZNP;
OOLU,CNSHK,KRPUS,,;GCC1;
OOLU,CNSHK,KRPUS,,;AAS;
ZIMU,CNSHK,CLSAI,CNYYA;CNSHA;PABLB,;;ZCP;ZCX
ZIMU,CNSHK,CLSAI,CNNSA;CNYTN;JMKIN,;;ZXB;ZCX
ZIMU,CNSHK,CLSAI,CNCSX;CNSHA;PABLB,;;ZCP;ZCX
ZIMU,CNSHK,CLSAI,CNNSA;CNYTN;JMKIN,;TFX;ZXB;ZCX
OOLU,CNTXG,ESVLC,CNNGB,;LL2;WM1;
OOLU,CNTXG,ESVLC,CNTAO,;LL2;WM1;
OOLU,CNTXG,ESVLC,CNNGB,;LL2;WM2;
OOLU,CNTXG,ESVLC,CNTAO,;LL2;WM2;
ZIMU,EGALY,GBFXT,ILHFA,ADE;ZMI
OOLU,CNTXG,VNSGN,VNCLI,;CHL;
OOLU,CNTXG,VNSGN,CNTAO;VNCLI,;CSS1;CHL;
ZIMU,HKHKG,CAVAN,KRPUS,;ZNP
ZIMU,HKHKG,CAVAN,CNSHA,CWX;ZNP
ZIMU,HKHKG,CAVAN,CNSHA,CVX;ZNP
ZIMU,HKHKG,CAVAN,CNSHA,ASE;ZNP
ZIMU,HKHKG,CAVAN,KRPUS,CI3;ZNP
ZIMU,HKHKG,CAVAN,CNSHA,CI3;ZNP
ZIMU,HKHKG,CAVAN,CNSHA,CI1;ZNP
OOLU,CNWHI,USNYC,CNSHA,;ECC2;
OOLU,CNWHI,USNYC,CNSHA,;ECX1;
OOLU,CNWHI,USNYC,CNSHA,;ECX2;
ZIMU,INCCU,USNYC,LKCMB,;ZNF
OOLU,CNXMN,CAVAN,,;PNW2;
ZIMU,JPTYO,BRSSZ,CNSHA,;ASE
ZIMU,JPTYO,BRSSZ,CNNGB,;ASE
OOLU,CNXMN,FRDKK,SGSIN;BEANR,;LL1;LL7;
OOLU,CNXMN,FRDKK,SGSIN,;LL1;LL4;
OOLU,CNXMN,FRDKK,SGSIN;FRLEH,;LL1;LL4;
OOLU,CNXMN,FRDKK,SGSIN;BEANR,;LL1;LL2;
OOLU,CNXMN,FRDKK,SGSIN;BEANR,;LL1;LL5;
OOLU,CNXMN,FRDKK,FRFOS,;WM2;
OOLU,CNXMN,FRDKK,NLRTM,;LL3;
ZIMU,PRSJU,SGSIN,JMKIN;CNSHA,CCS;ZCP;FAX
ZIMU,PRSJU,SGSIN,JMKIN;CNSHA,CCS;ZCP;CM1
OOLU,CNYTN,BRSSZ,,;TLA1;
ZIMU,TRALI,SIKOP,ILHFA,LBX;ADE
ZIMU,TRALI,SIKOP,ILHFA,TBX;ADE
OOLU,CNYTN,GRPIR,,;LL3;
OOLU,CNYTN,GRPIR,,;WM1;
ZIMU,TRYAR,KRPUS,,ZMP
OOLU,DEBRV,GRPIR,ESALG,;IP1;;
OOLU,DEBRV,GRPIR,,;NET;
ZIMU,USBAL,INMUN,MYPKG,ZXB;NIX
OOLU,DEBRV,MXATM,,;ATG1;
OOLU,DEBRV,MXATM,DEHAM;BEANR,;EWX;ATG1;
OOLU,DEBRV,MXATM,DEHAM;PECLL;MXZLO,;EWX;TLP2;
OOLU,DEBRV,MXATM,DEHAM;PECLL;MXZLO,;EWX;TLP1;
ZIMU,USORF,MYPEN,CNXMG,ZBA;CM1
OOLU,DEHAM,CLSAI,,;EWX;
COSU,CNTAO,SADMM,,MEX
COSU,CNTAO,SADMM,,MEX4
COSU,CNNSA,DOCAU,HKHKG,;CAX1
COSU,CNNSA,DOCAU,CNSHK,;CAX1
MAEU,ESVLC,BRSSZ,ESALG,;
MSCU,CNNGB,BEANR,,LION SERVICE
MSCU,CNNGB,BEANR,,
COSU,COCTG,CLSAI,,EWX
COSU,CNSHA,ARBUE,,ESA
MAEU,FRLEH,SADMM,SAJED,;
MSCU,ITTRS,JPTYO,KRPUS,;
COSU,COCTG,DOCAU,,EWX
COSU,COCTG,DOCAU,,CAX1
MAEU,GBGRG,INNSA,NLRTM;OMSLL,;;
MSCU,CNDLC,CAVAN,KRPUS,;
COSU,DEHAM,JPYOK,CNSHA,AEU3;SKT2
COSU,DEHAM,JPYOK,CNDLC,AEU3;CJ33
COSU,DEHAM,JPYOK,CNSHA,AEU3;SKT4
COSU,DEHAM,JPYOK,CNSHA,AEU5;SKT4
COSU,DEHAM,JPYOK,CNSHA,AEU5;SKT5
COSU,DEHAM,JPYOK,CNSHA,;SKT5
COSU,DEHAM,JPYOK,CNSHA,;SKT2
COSU,CNSHA,COBAQ,PAMIT,CAX1;CIXX
COSU,CNSHA,COBAQ,PAMIT,GME;CIXX
MAEU,ILHFA,AUADL,SGSIN,;
MSCU,CNSHA,SIKOP,,
ZIMU,BRSSZ,USSAV,,XNS
OOLU,DEHAM,EGALY,EGDAM,;IP3;
OOLU,DEHAM,EGALY,GRPIR,;NET;;
OOLU,DEHAM,EGALY,GRPIR,;NET2;;
COSU,DEHAM,OMSOH,AEJEA,
COSU,DEHAM,OMSOH,AEJEA,;MEX4
COSU,CNSHA,EGSOK,,RES2
MAEU,INMUN,PECLL,MAPTM;COBUN,;;AC3
MSCU,EETLL,USORF,LTKLJ,;
COSU,ESALG,PHMNN,AEKHL;SGSIN,;;NP1
COSU,CNSHA,IEDUB,BEANR,;INX1
COSU,CNSHA,IEDUB,BEANR,AEU3;INX1
COSU,CNSHA,IEDUB,BEANR,AEU6;INX1
COSU,CNSHA,IEDUB,BEZEE,AEU1;INX1
MAEU,INMUN,ZAPLZ,,
COSU,ESBCN,CNSHA,,
COSU,CNSHA,MXESE,,WSA3
MAEU,ITVDL,COCTG,ESALG;PAMIT,;;
MSCU,KRPUS,DEBRV,,
COSU,ESVLC,HKHKG,,AEM1
COSU,ESVLC,HKHKG,,
COSU,CNSHA,TRIZM,GRPIR,AEM1;PNX
COSU,CNSHA,TRIZM,GRPIR,AEM1;AGT
COSU,CNSHA,TRIZM,GRPIR,AEU3;PNX
COSU,CNSHA,TRIZM,GRPIR,AEU3;AGT
COSU,CNSHA,TRIZM,GRPIR,;PNX
COSU,CNSHA,TRIZM,GRPIR,;AGT
MSCU,TRGEM,GBFXT,,
COSU,FIRAU,USNYC,DEBRV,;TAE
COSU,CNSHK,ESBCN,,
MAEU,MYPKG,CAPRR,MYTPP;CNSHA,;;
MSCU,CNXMN,DEHAM,MYTPP,;
ZIMU,CNSHA,BRSSZ,,ASE
OOLU,DEHAM,JPOSA,DEWVN;SGSIN,;LL1;KTX6;
OOLU,DEHAM,JPOSA,DEWVN;CNNGB,;LL1;;
OOLU,DEHAM,JPOSA,CNNGB,;LL2;;
OOLU,DEHAM,JPOSA,CNNGB,;LL6;;
OOLU,DEHAM,JPOSA,CNNGB,;LL7;;
OOLU,DEHAM,JPOSA,CNNGB,;LL4;;
OOLU,DEHAM,JPOSA,SGSIN,;LL3;KTX6;
OOLU,DEHAM,JPOSA,CNXMN,;LL3;KTX1;
OOLU,DEHAM,JPOSA,HKHKG,;LL3;KTX2;
COSU,FRLEH,CNNSA,CNYTN,AEU6;
COSU,FRLEH,CNNSA,,
COSU,FRLEH,CNNSA,MYPKG,AEU2;
COSU,CNSHK,INNSA,,AIS
COSU,CNSHK,INNSA,,CIX3
COSU,CNSHK,INNSA,,AS1
COSU,CNSHK,INNSA,,CI1
MAEU,NLRTM,KEMBA,OMSLL,;
MSCU,IDSRG,COBUN,KRPUS,;ANDES EXPRESS SERVICE
COSU,CNSHK,KWKWI,AEJEA,MEX5;KAX
COSU,CNSHK,KWKWI,AEJEA,AG2;KAX
COSU,CNSHK,KWKWI,AEJEA,AG2
COSU,CNSHK,KWKWI,AEJEA,MEX4;KAX
MSCU,CNNGB,HRRJK,,
COSU,INMUN,BGVAR,GRPIR,MINA;TBX1
COSU,CNSHP,NZAKL,HKHKG,NCT;
COSU,CNSHP,NZAKL,HKHKG,NCT;JKN
COSU,CNSHP,NZAKL,CNTXG;HKHKG,;NCT;JKN
COSU,CNSHP,NZAKL,CNTXG;SGSIN,;AEU3;NZS
COSU,CNSHP,NZAKL,SGSIN,PA1;NZS
MAEU,NZNSN,AUSYD,AUMEL,;
MSCU,THLCH,CAVAN,CNNGB,LION SERVICE;
COSU,INMUN,ESBCN,,MINA
COSU,CNTAO,DKAAR,DEHAM,AEU3;
COSU,CNTAO,DKAAR,CNNGB;DEHAM,AEU3;;
COSU,CNTAO,DKAAR,CNNGB;DEHAM,CII;;
COSU,CNTAO,DKAAR,DEHAM,AEU5
COSU,CNTAO,DKAAR,DEHAM,AEU5;
MAEU,ROCND,AEJEA,EGPSE,;
MSCU,BEANR,AUSYD,,
MSCU,BEANR,AUSYD,SGSIN,LION SERVICE;
COSU,ITGOA,USHOU,,
COSU,CNTAO,JOAQB,CNNGB,MEX;
COSU,CNTAO,JOAQB,CNNGB,MEX;RES2
COSU,CNTAO,JOAQB,CNNGB,CII;
COSU,CNTAO,JOAQB,CNNGB,CII;RES2
COSU,CNTAO,JOAQB,,
MAEU,SIKOP,CNSHK,SGSIN,;
MSCU,CNNGB,AUBNE,,
MSCU,CNNGB,AUBNE,SGSIN,;
ZIMU,CNSHA,SGSIN,,SA1
ZIMU,CNSHA,SGSIN,,CM1
ZIMU,CNSHA,SGSIN,,ASE
ZIMU,CNSHA,SGSIN,,TZX
ZIMU,CNSHA,SGSIN,,CI1
ZIMU,CNSHA,SGSIN,,FAX
ZIMU,CNSHA,SGSIN,,CI4
ZIMU,CNSHA,SGSIN,,KYX
ZIMU,CNSHA,SGSIN,,CWX
OOLU,DEHAM,PECLL,,;EWX;
COSU,JPNGO,AEJEA,CNSHA,;MEX
COSU,JPNGO,AEJEA,CNSHA,SNG5;MEX
COSU,JPNGO,AEJEA,CNSHA,SNG5;
COSU,JPNGO,AEJEA,CNSHA,SNG7;MEX
COSU,JPNGO,AEJEA,CNSHA,SNG7;
COSU,JPNGO,AEJEA,CNTAO,CJ27;MEX
COSU,JPNGO,AEJEA,CNNGB,CJ36;MEX
COSU,CNTAO,OMSOH,AEJEA,MEX
COSU,CNTAO,OMSOH,,MEX4
COSU,CNTAO,OMSOH,AEJEA,MEX4
MAEU,SIKOP,CNTXG,,
MSCU,CNYTN,USNYC,,
MSCU,CNYTN,USNYC,SGSIN,;
MSCU,CNYTN,USNYC,KRPUS,;SANTANA SERVICE
COSU,KRPUS,GBSOU,CNNGB;GBFXT,AEU2;AEU1
COSU,KRPUS,GBSOU,CNNGB,AEU2;AEU6
COSU,KRPUS,GBSOU,CNSHA;GBFXT,;AEU1
COSU,KRPUS,GBSOU,CNSHA;GBFXT,;AEU5
COSU,KRPUS,GBSOU,CNSHA,;AEU6
COSU,KRPUS,GBSOU,CNNGB;GBFXT,AAC4;AEU1
COSU,KRPUS,GBSOU,CNNGB,AAC4;AEU6
COSU,CNTAO,USORF,,AWE2
MAEU,SIKOP,OMSOH,SAJED;AEJEA,;;
COSU,MXZLO,COBUN,,WSA
COSU,MXZLO,COBUN,,WSA4
COSU,CNTAO,USTPA,CNNGB,AEU3;GME
COSU,CNTAO,USTPA,CNNGB,MEX;GME
MAEU,THLCH,USSAV,,
MSCU,CNSHK,TRIST,,
COSU,MYPEN,USLAX,CNSHA;USLGB,;CEN
COSU,MYPEN,USLAX,CNXMN;USLGB,;AAC
COSU,MYPEN,USLAX,HKHKG;USLGB,KCM2;SEA
COSU,CNTXG,AUTSV,CNNGB,CII;CAP
COSU,CNTXG,AUTSV,HKHKG,NCT;CAP
MSCU,INNSA,USSAV,,
COSU,ROCND,AUSYD,MYPKG,;AAA2
COSU,ROCND,AUSYD,MYPKG,;ASAL
COSU,CNTXG,BEANR,,
COSU,CNTXG,BEANR,CNSHA;BEZEE,AEU3;AEU1
COSU,CNTXG,BEANR,GRPIR;FRFOS,AEU3;AEM1
COSU,CNTXG,BEANR,,AEU3
COSU,CNTXG,BEANR,CNTAO;FRFOS,AEU3;AEM1
COSU,CNTXG,BEANR,CNSHA,AEU3;AEU6
COSU,CNTXG,BEANR,CNSHA;FRFOS,AEU3;
COSU,CNTXG,BEANR,CNTAO;FRFOS,AEU3;
COSU,CNTXG,BEANR,CNNGB;FRFOS,AEU3;
COSU,CNTXG,BEANR,CNNGB;GRPIR;FRFOS,AEU3;;AEM1
MAEU,VNSGN,COBUN,CNNGB,;;AC3
MSCU,INNSA,USNYC,,
OOLU,DEHAM,QAHMD,DEWVN;SGSIN;AEJEA,;LL1;ME5;EM3;
OOLU,DEHAM,QAHMD,DEWVN;SGSIN;AEJEA,;LL1;ME5;;
OOLU,DEHAM,QAHMD,DEWVN;SGSIN;AEJEA,;LL1;ME1;EM3;
OOLU,DEHAM,QAHMD,DEWVN;SGSIN;AEJEA,;LL1;ME1;;
OOLU,DEHAM,QAHMD,SAJED,;IP3;WM3;
OOLU,DEHAM,QAHMD,AEJEA,;IP2;EM3;
OOLU,DEHAM,QAHMD,AEKHL;AEJEA,;LL3;;EM3;
COSU,SGSIN,IEDUB,BEZEE,AEU1;INX1
COSU,SGSIN,IEDUB,BEANR,AEU6;INX1
COSU,SGSIN,IEDUB,NLRTM,AEU5;INX4
COSU,SGSIN,IEDUB,BEZEE,;INX1
COSU,SGSIN,IEDUB,BEANR,AEU3;INX1
COSU,SGSIN,IEDUB,BEANR,;INX1
COSU,CNTXG,USCHS,CNTAO;USSAV,CEN;AWE1
COSU,CNTXG,USCHS,CNTAO;USSAV,CEN;AWE2
COSU,CNTXG,USCHS,CNTAO,CEN;AWE1
COSU,CNTXG,USCHS,CNSHA,AEU3;AWE1
COSU,CNTXG,USCHS,CNSHA,AEU3;AWE4
COSU,CNTXG,USCHS,KRPUS;USSAV,;AWE2
COSU,CNTXG,USCHS,KRPUS;USSAV,;AWE7
COSU,CNTXG,USCHS,KRPUS,;AWE7
MAEU,ZACPT,DKAAR,DEBRV,;
MSCU,CNNGB,AUSYD,,
COSU,SVAQJ,CLSAI,PABLB,MCX;WSA
MAEU,ZAPLZ,BDCGP,AEJEA;SGSIN,;;
MSCU,CNTAO,NLRTM,CNNGB,;LION SERVICE
COSU,TRALI,NLRTM,BEANR,
COSU,TRALI,NLRTM,GRPIR,AGT;NET2
COSU,TRALI,NLRTM,GRPIR,AGT;AEU3
COSU,TRALI,NLRTM,GRPIR,AGX;NET2
COSU,CNWHI,GRSKG,GRPIR,AEM1;AGT
COSU,CNWHI,GRSKG,GRPIR,AEU3;AGT
COSU,CNWHI,GRSKG,CNSHA;GRPIR,CB31;AEU3;AGT
COSU,CNWHI,GRSKG,CNSHA;GRPIR,CB31;AEM1;AGT
COSU,CNWHI,GRSKG,CNSHA;GRPIR,CB31;;AGT
COSU,CNWHI,GRSKG,GRPIR,;AGT
MAEU,BRIOA,BEANR,MAPTM,;
MSCU,MYPEN,USHOU,SGSIN;KRPUS,;;
MSCU,MYPEN,USHOU,MYTPP;CNSHA,;;LONE STAR EXPRESS
COSU,TRIZM,CNTXG,GRPIR,AGT;
COSU,TRIZM,CNTXG,GRPIR;CNSHA,AGT;;AEU3
COSU,TRIZM,CNTXG,GRPIR;SGSIN,AGT;AEM1;PA1
COSU,TRIZM,CNTXG,GRPIR;CNSHA,AGT;AEM1;AEU3
MAEU,BRIOA,DEBRV,MAPTM,;
MSCU,PKBQM,ESBCN,INMUN,;
COSU,TRMER,DKFRC,DEHAM,NET2
COSU,TRMER,DKFRC,DEHAM,NET2;
COSU,CNWUH,SIKOP,SGSIN,AEU1;
COSU,CNWUH,SIKOP,SGSIN,ZAX2;
COSU,CNWUH,SIKOP,SGSIN,;
COSU,CNWUH,SIKOP,CNSHA,CB24;
MSCU,PTSIE,USPHL,,
ZIMU,CNYTN,AUBNE,,TFX
ZIMU,CNYTN,AUBNE,CNNGB,ZBA;CAX
OOLU,DEHAM,TRIST,TRAMR,;NET;
COSU,USNYC,CNTXG,CNSHA,AWE1;AEU3
COSU,USNYC,CNTXG,SGSIN,AWES;CSE
COSU,USNYC,CNTXG,HKHKG,AWE3;CYH
COSU,USNYC,CNTXG,CNSHA,AWE2;AEU3
COSU,USNYC,CNTXG,KRPUS,AWE2;
COSU,USNYC,CNTXG,HKHKG,AWE4;CYH
COSU,USNYC,CNTXG,CNSHA,AWE4;AEU3
COSU,CNXAO,ALDRZ,CNNSA;GRPIR,;;AIG
COSU,CNXAO,ALDRZ,HKHKG;GRPIR,;AEM1;AIG
COSU,CNXAO,ALDRZ,GRPIR,;AIG
COSU,CNXAO,ALDRZ,GRPIR,AEM1;AIG
MAEU,CAMTR,DEBRV,,
MSCU,DEBRV,USPHL,,
CMDU,CNYTN,CAHAL,,CJX
COSU,USORF,CNTXG,HKHKG,AWE3;CYH
COSU,USORF,CNTXG,CNNGB,AWE7;CII
COSU,USORF,CNTXG,SGSIN,AWES;CSE
COSU,USORF,CNTXG,CNSHA,AWE2;AEU3
COSU,USORF,CNTXG,KRPUS,AWE2;
MAEU,CNNGB,NLTIE,NLRTM,;
MSCU,CNNGB,AEJEA,,
COSU,USSAV,ESVLC,,MENA
MAEU,CNNSA,CRPTC,KRPUS;PABLB,;AC3;
MAEU,CNNSA,CRPTC,HKHKG;PABLB,;AC3;
MSCU,INTUT,DEHAM,LKCMB,;
COSU,VNHPH,HRRJK,SGSIN;SIKOP,QVS;
COSU,VNHPH,HRRJK,SGSIN,QVS;
COSU,VNHPH,HRRJK,SGSIN;GRPIR,QVS;AEM1;PRS
COSU,VNHPH,HRRJK,SGSIN;GRPIR,QVS;AEU3;PRS
COSU,VNHPH,HRRJK,SGSIN;SIKOP,NVX;
COSU,VNHPH,HRRJK,SGSIN,NVX;
COSU,VNHPH,HRRJK,SGSIN;GRPIR,NVX;AEM1;PRS
COSU,VNHPH,HRRJK,SGSIN;GRPIR,NVX;AEU3;PRS
COSU,VNHPH,HRRJK,SGSIN;GRPIR,VJS;AEM1;PRS
COSU,VNHPH,HRRJK,SGSIN;GRPIR,VJS;AEU3;PRS
COSU,VNHPH,HRRJK,SGSIN;SIKOP,VJS;
COSU,VNHPH,HRRJK,SGSIN,VJS;
COSU,CNXMN,MXESE,,WSA3
MAEU,CNNSA,ESVLC,,AE11
MSCU,CNSHA,ZADUR,,
COSU,BEANR,AUMEL,CNSHA,AEU3;A3C
COSU,BEANR,AUMEL,CNNGB,AEU3;A3C
COSU,BEANR,AUMEL,SGSIN,AEU1;ASAL
COSU,CNXMN,TRIST,TRHAY,
COSU,CNXMN,TRIST,GRPIR;MASFI,;
COSU,CNXMN,TRIST,GRPIR;MASFI,;PNX
COSU,CNXMN,TRIST,GRPIR;MASFI,;AGT
MAEU,CNSHA,USLAX,,
MSCU,THLCH,GBFXT,MYTPP,;
