SCAC,POL,POD
COSU,VNVUT,USCHS
COSU,DEBRV,INNSA
COSU,CNSHK,MXZLO
COSU,CNTAO,USSAV
COSU,CNSHA,HRRJK
COSU,VNSGN,ZACPT
COSU,CNNGB,CAPRR
COSU,CNSHA,AUFRE
COSU,CNNGB,HRRJK
COSU,CNXMN,DEHAM
COSU,CNNGB,AUFRE
COSU,DEWVN,VNHPH
COSU,VNSGN,AUMEL
COSU,CNTAO,ITSPE
COSU,MYPEN,USHOU
COSU,MXLZC,CNDLC
COSU,SGSIN,PAMIT
COSU,CNSHA,CAVAN
COSU,MMRGN,SGSIN
COSU,TRALI,GBFXT
COSU,VNVUT,USHOU
COSU,CNTAO,GBSOU
COSU,CNXMN,AUSYD
COSU,CNNGB,USLGB
COSU,INNSA,NLRTM
COSU,CNNGB,AUBNE
COSU,INMUN,CAVAN
COSU,THLCH,AUMEL
COSU,VNSGN,AUSYD
COSU,CNCKG,DEHAM
COSU,ESALG,KRPUS
COSU,LKCMB,AUMEL
COSU,THBKK,NZAKL
COSU,DEHAM,EGEDK
COSU,SGSIN,HRRJK
COSU,CNJMN,DEHAM
COSU,DEHAM,MYPKG
COSU,CNNGB,NZAKL
COSU,DEBRV,USHOU
COSU,CNYTN,GRPIR
COSU,CNWUH,PLGDN
COSU,TRALI,PLGDN
COSU,NLRTM,MYPKG
COSU,CNSHA,ITSPE
COSU,CNNKG,SADMM
COSU,CNXMN,CAVAN
COSU,CNYTN,USSAV
COSU,IDJKT,PABLB
COSU,CNNGB,GBFXT
COSU,CNYTN,GBFXT
COSU,INMUN,NLRTM
COSU,KRPUS,INMAA
COSU,SGSIN,AUSYD
COSU,CNTXG,AUMEL
COSU,THLCH,AUBNE
COSU,BEANR,CLSAI
COSU,DEHAM,AUSYD
COSU,BEANR,CNTXG
COSU,CNXMN,DEWVN
COSU,MYPKG,AUMEL
COSU,CNSHK,AUMEL
COSU,CNTAO,ALDRZ
COSU,CNSHA,ALDRZ
COSU,CNSHA,USOAK
COSU,ESALG,USNYC
COSU,SGSIN,AUFRE
COSU,THBKK,AUFRE
COSU,CNSUD,ITSPE
COSU,CNSHA,SEGOT
COSU,ECPSJ,NLRTM
COSU,INNSA,BEANR
COSU,AEJEA,SAJED
COSU,CNNGB,NLRTM
COSU,CNTAO,AUSYD
COSU,CNTAO,USSEA
COSU,CNTXG,USLGB
COSU,INMUN,BEANR
COSU,LKCMB,AEJEA
COSU,CLSAI,DEHAM
COSU,CNSHA,SADMM
COSU,INNSA,DEBRV
COSU,SIKOP,AUMEL
COSU,VNSGN,AUBNE
COSU,DEHAM,JOAQB
COSU,ESVLC,USNYC
COSU,FIHEL,INNSA
COSU,TRALI,MTDIS
COSU,CNJJG,SADMM
COSU,CNSHA,BRSSZ
COSU,INMUN,ITGOA
COSU,CNNSA,ITSPE
COSU,CNSHA,GBFXT
COSU,CNXMN,AUMEL
COSU,BEANR,BRSSZ
COSU,CNYTN,HRRJK
COSU,DEWVN,CNSHA
COSU,IDSRG,ALDRZ
COSU,INMUN,USNYC
COSU,INNSA,ESVLC
COSU,TWKHH,USLGB
COSU,CLSAI,GBLGP
COSU,CNNGB,DEHAM
COSU,INNSA,CAVAN
COSU,SIKOP,CNTXG
COSU,DEHAM,SGSIN
COSU,CAVAN,VNHPH
COSU,CNDLC,CAPRR
COSU,CNTXG,AUSYD
COSU,DEHAM,SAJED
COSU,IDJKT,ZACPT
COSU,IDSRG,BRSSZ
COSU,PAMIT,DOCAU
COSU,CNNGB,INMAA
COSU,CNSHA,USORF
COSU,CNSHK,AUBNE
COSU,CNTXG,CAVAN
COSU,CNXMN,USLGB
COSU,INNSA,SADMM
COSU,MMRGN,DEHAM
COSU,PABLB,CLSAI
COSU,CNNKG,AUMEL
COSU,CNNSA,SADMM
COSU,CNTAO,AEJEA
COSU,CNXMN,USLAX
COSU,ITNAP,AUSYD
COSU,VNSGN,AUFRE
COSU,CLSAI,BEANR
COSU,CNSHA,NZLYT
COSU,CNTXG,AUBNE
COSU,BEANR,CNTAO
COSU,CNJMN,ITNAP
COSU,CNNSA,USLGB
COSU,CNTAO,IEDUB
COSU,DEHAM,THLCH
COSU,ITSPE,USNYC
COSU,MXZLO,PECLL
COSU,VNVUT,CAVAN
COSU,CNTAO,USLGB
COSU,ESVLC,ALDRZ
COSU,FIHEL,AEJEA
COSU,HKHKG,NZAKL
COSU,MYPKG,AUSYD
COSU,CNNSA,CAPRR
COSU,CNSHP,AUMEL
COSU,INMAA,AUBNE
COSU,NLRTM,CNSHA
COSU,PHMNN,AUSYD
COSU,VNHPH,ZACPT
COSU,VNSGN,CAVAN
COSU,CNNGB,ZADUR
COSU,CNNSA,GBFXT
COSU,DEHAM,CLSAI
COSU,ESVLC,CNSHA
COSU,GRPIR,AUSYD
COSU,IDBLW,BRSSZ
COSU,SGSIN,IDSUB
COSU,CNJMN,SADMM
COSU,CNNGB,CAVAN
COSU,CNTAO,CAVAN
COSU,CNTAO,SGSIN
COSU,CNTXG,MXZLO
COSU,MXESE,CRPTC
COSU,MYPKG,ZADUR
COSU,VNVUT,USSEA
COSU,CNTXG,CAPRR
COSU,CNXMN,AUBNE
COSU,DEHAM,ARBUE
COSU,IEORK,USNYC
COSU,ITLIV,USNYC
COSU,MYPGU,TRDRC
COSU,SGSIN,AUADL
COSU,CNBIJ,SADMM
COSU,CNDLC,AUMEL
COSU,CNNKG,AUBNE
COSU,CNSHA,USHOU
COSU,CNSHK,ZADUR
COSU,CNTXG,USSAV
COSU,DEHAM,AUMEL
COSU,INMUN,ESVLC
COSU,INNSA,GRPIR
COSU,INNSA,USLAX
COSU,MYPKG,AUBNE
COSU,SIKOP,CNSHA
COSU,TWKHH,AUMEL
COSU,BEANR,KRPUS
COSU,CNYTN,DEHAM
COSU,IDJKT,FRLEH
COSU,ITSPE,USORF
COSU,PHMNL,AUMEL
COSU,SGSIN,DEHAM
COSU,SIKOP,JPMOJ
COSU,CNJMN,HRRJK
COSU,CNNGB,USTPA
COSU,CNTAO,ITNAP
COSU,DEHAM,KRPUS
COSU,ILHFA,NLRTM
COSU,INMUN,USLAX
COSU,INPAV,CAVAN
COSU,PHMNL,AUBNE
COSU,PKBQM,USNYC
COSU,VNHPH,AUSYD
COSU,ZACPT,NZAKL
COSU,CNSHK,NZAKL
COSU,INMAA,CAVAN
COSU,ITSPE,AUMEL
COSU,KRPUS,INNSA
COSU,MYPGU,MXESE
COSU,PAMIT,UYMVD
COSU,ROCND,CNSHA
COSU,ROCND,USNYC
COSU,USNYC,CNYTN
COSU,USSAV,MACAS
COSU,CNSHK,HRRJK
COSU,CNSHP,AUBNE
COSU,CNYTN,ALDRZ
COSU,DEHAM,AEJEA
COSU,DEHAM,AUBNE
COSU,KHPNH,CAHAL
COSU,LKCMB,CNSHA
COSU,MMRGN,AUSYD
COSU,SGSIN,GBSOU
COSU,TRALI,BEANR
COSU,TWKHH,CAVAN
COSU,AUMEL,JPYOK
COSU,CAHAL,KRPUS
COSU,CNFOC,NZAKL
COSU,CNNGB,SADMM
COSU,CNTAO,USLAX
COSU,FIHEL,USCHS
COSU,HNPCR,DEHAM
COSU,INNSA,AEJEA
COSU,KRPUS,USSEA
COSU,SIKOP,JPNGO
COSU,AUBNE,NZAKL
COSU,BEANR,ARBUE
COSU,CNDLC,CAVAN
COSU,CNXMN,USSAV
COSU,ECPSJ,DEHAM
COSU,FIHEL,KRPUS
COSU,LTKLJ,JPTYO
COSU,MYPKG,AUFRE
COSU,PABLB,PECLL
COSU,TRALI,DEBRV
COSU,VNDAD,USORF
COSU,VNHPH,CNTAO
COSU,CNDLC,DEHAM
COSU,CNNSA,IEDUB
COSU,CNTAO,FIHEL
COSU,CNYTN,CAPRR
COSU,DEHAM,CNYTN
COSU,DEHAM,NZAKL
COSU,INMAA,DEHAM
COSU,INNSA,ITNAP
COSU,ITNAP,AUMEL
COSU,MYPEN,AUSYD
COSU,MYPGU,CAVAN
COSU,PHMNN,NLRTM
COSU,TRALI,HRRJK
COSU,TRALI,KWSAA
COSU,CNDLC,ZADUR
COSU,CNWUH,GBFXT
COSU,CNXMN,USNYC
COSU,KRPUS,USLGB
COSU,SAJED,PKKHI
COSU,VNVUT,USLGB
COSU,ZADUR,AUSYD
COSU,CNJMN,SIKOP
COSU,CNNKG,AUSYD
COSU,CNNSA,DEHAM
COSU,CNTAO,GRPIR
COSU,CNTAO,HRRJK
COSU,CNTXG,ITVCE
COSU,CNYTN,NZAKL
COSU,CNZSN,ITSPE
COSU,DEHAM,CRMOB
COSU,IDJKT,AUSYD
COSU,IDSRI,DEHAM
COSU,INNSA,FRFOS
COSU,ITLIV,USSAV
COSU,LKCMB,NLRTM
COSU,MYPEN,AUBNE
COSU,PLGDN,CNDLC
COSU,THBKK,GRSKG
COSU,TRALI,AEJEA
COSU,BEANR,JPTYO
COSU,BEANR,USHOU
COSU,CNTAO,SAJED
COSU,CNTXG,DEHAM
COSU,CNTXG,HRRJK
COSU,CNYTN,NLRTM
COSU,CNYTN,USOAK
COSU,DOCAU,NLRTM
COSU,HRRJK,CNSHK
COSU,IDJKT,AUMEL
COSU,INNSA,ROCND
COSU,ITGOA,USSAV
COSU,PHMNL,AUSYD
COSU,SEGOT,INMAA
COSU,SIKOP,ILHFA
COSU,TWTPE,USLAX
COSU,USLGB,CNSHA
COSU,CNTAO,AUMEL
COSU,DEHAM,AUFRE
COSU,DEHAM,QAHMD
COSU,DEWVN,SGSIN
COSU,ESALG,USSAV
COSU,ESBCN,AUBNE
COSU,ESVLC,AUMEL
COSU,HRRJK,USNYC
COSU,INMUN,SIKOP
COSU,INNSA,GRSKG
COSU,ITGOA,JOAQB
COSU,ITSPE,USSAV
COSU,JOAQB,HKHKG
COSU,JPOSA,AUBNE
COSU,KRPUS,NZAKL
COSU,LKCMB,HKHKG
COSU,MMRGN,GBSOU
COSU,THLCH,USSAV
COSU,CNDLC,AUBNE
COSU,CNNGB,AUADL
COSU,CNNKG,USCHS
COSU,CNNSA,GBSOU
COSU,CNSHA,JPTYO
COSU,CNTAO,AUBNE
COSU,CNTAO,ZADUR
COSU,CNWHI,ITSPE
COSU,CNWUH,NZAKL
COSU,CNWUH,ZACPT
COSU,CNZHE,DEHAM
COSU,DEWVN,MYPKG
COSU,INCOK,CAVAN
COSU,INMUN,ROCND
COSU,INNSA,FRLEH
COSU,INNSA,GBSOU
COSU,MXZLO,CNSHK
COSU,PHMNN,GBSOU
COSU,SIKOP,AUSYD
COSU,TRALI,ITBRI
COSU,VNDAD,USLGB
COSU,VNVUT,USSAV
COSU,CNDLC,INMAA
COSU,CNDLC,ITSPE
COSU,CNNKG,DEHAM
COSU,CNSHK,AUFRE
COSU,CNTXG,NZAKL
COSU,CNXMN,ITNAP
COSU,DEHAM,PECLL
COSU,ESBCN,USORF
COSU,FRLEH,KRPUS
COSU,HNPCR,DOCAU
COSU,INMUN,GBSOU
COSU,INMUN,GRPIR
COSU,INNSA,AUSYD
COSU,ITNAP,USORF
COSU,MMRGN,NLRTM
COSU,MYPKG,NZAKL
COSU,PHMNL,NLRTM
COSU,THLCH,ZACPT
COSU,TRALI,DEBRE
COSU,VNSGN,ESBCN
COSU,VNVUT,ITNAP
COSU,CNDLC,MXZLO
COSU,CNNBO,DEHAM
COSU,CNNGB,MTDIS
COSU,CNSHA,FRLEH
COSU,CNSHA,SAJED
COSU,CNSHA,USSEA
COSU,CNTAO,USNYC
COSU,CNTXG,ROCND
COSU,CNYTN,PLGDN
COSU,DEBRV,MXVER
COSU,INMUN,GBLGP
COSU,INNSA,ESBCN
COSU,INNSA,HRRJK
COSU,INNSA,KWKWI
COSU,ITBRI,USNYC
COSU,ITSAL,FIHEL
COSU,KRPUS,ZADUR
COSU,NLRTM,CNTAO
COSU,PTLEI,HKHKG
COSU,SGSIN,GBFXT
COSU,SGSIN,HUBUD
COSU,VNUIH,USORF
COSU,BEANR,JPUKB
COSU,CNDLC,NZAKL
COSU,CNHAK,AUBNE
COSU,CNSHA,BRNVT
COSU,CNSHA,MXLZC
COSU,DEHAM,CNTAO
COSU,FRLEH,AUMEL
COSU,IDJKT,ALDRZ
COSU,INMUN,FRLEH
COSU,INMUN,USSEA
COSU,INTUT,DEHAM
COSU,JPUKB,AUSYD
COSU,MYPGU,IDJKT
COSU,PABLB,ECGYE
COSU,PKBQM,CAVAN
COSU,PLGDN,TRGEB
COSU,SIKOP,JPYOK
COSU,THLCH,AUFRE
COSU,TRALI,ITNAP
COSU,USHOU,JMKIN
COSU,AUFRE,HKHKG
COSU,BEANR,CAMTR
COSU,BEANR,CNDLC
COSU,BEANR,USSAV
COSU,BGVAR,AUMEL
COSU,CNHOP,TZDAR
COSU,CNNGB,GRSKG
COSU,CNNGB,PLGDN
COSU,CNNSA,MYPEN
COSU,CNSHA,GBSOU
COSU,CNSHA,MYPEN
COSU,CNSHA,ROCND
COSU,CNTAO,GRSKG
COSU,CNTAO,MXLZC
COSU,CNTAO,SIKOP
COSU,CNWUH,USLGB
COSU,CNXMN,AUFRE
COSU,CNZJG,SADMM
COSU,ESBCN,USSAV
COSU,FIKTK,USHOU
COSU,ILHFA,DEHAM
COSU,INMUN,MXZLO
COSU,INMUN,USOAK
COSU,ITGOA,USMIA
COSU,ITNAP,CNNGB
COSU,ITSAL,NOMSS
COSU,ITSPE,AUFRE
COSU,ITVDL,USNYC
COSU,VNHPH,FIHEL
COSU,AEJEA,PKKHI
COSU,BEANR,MXVER
COSU,CAVAN,TWKHH
COSU,CNNKG,NLRTM
COSU,CNSHA,DOCAU
COSU,CNSHK,ZACPT
COSU,CNSUD,GBSOU
COSU,CNSUD,ITNAP
COSU,CNZAP,SADMM
COSU,COBUN,ECGYE
COSU,COCTG,PECLL
COSU,ESBCN,KRPUS
COSU,ESVLC,JPTYO
COSU,FIKTK,VNSGN
COSU,GEBUS,PLGDN
COSU,HNPCR,CLSAI
COSU,HRRJK,CNSHA
COSU,IDJKT,EGSOK
COSU,IDJKT,THBKK
COSU,IDSUB,AUSYD
COSU,INMAA,BEANR
COSU,INNSA,DKFRC
COSU,INNSA,IDJKT
COSU,INNSA,TRIST
COSU,INNSA,USLGB
COSU,ITLIV,USORF
COSU,ITNAP,AUBNE
COSU,ITSPE,AUBNE
COSU,MXZLO,CNSHA
COSU,MYPGU,CAHAL
COSU,PKKHI,USLAX
COSU,SIKOP,JPOSA
COSU,THBKK,AUADL
COSU,THLCH,USLAX
COSU,TWKHH,MXESE
COSU,USLGB,CNTXG
COSU,ZADUR,NZAKL
COSU,BEANR,USNYC
COSU,BEANR,USORF
COSU,BGVAR,AUSYD
COSU,CAHAL,JPYOK
COSU,CAVAN,VNSGN
COSU,CNNKG,AEJEA
COSU,CNNSA,HRRJK
COSU,CNQZH,USLAX
COSU,CNSHA,GRPIR
COSU,CNSHA,KEMBA
COSU,CNSHA,USMOB
COSU,CNTAO,AUFRE
COSU,CNTAO,SADMM
COSU,COCTG,CLSAI
COSU,COCTG,DOCAU
COSU,DEHAM,JPYOK
COSU,DEHAM,OMSOH
COSU,ESALG,PHMNN
COSU,ESBCN,CNSHA
COSU,ESVLC,HKHKG
COSU,FIRAU,USNYC
COSU,FRLEH,CNNSA
COSU,IDBLW,MXLZC
COSU,INMUN,BGVAR
COSU,INMUN,ESBCN
COSU,ITGOA,USHOU
COSU,JPNGO,AEJEA
COSU,KRPUS,GBSOU
COSU,MXZLO,COBUN
COSU,MYPEN,USLAX
COSU,ROCND,AUSYD
COSU,SGSIN,IEDUB
COSU,SVAQJ,CLSAI
COSU,TRALI,NLRTM
COSU,TRIZM,CNTXG
COSU,TRMER,DKFRC
COSU,USNYC,CNTXG
COSU,USORF,CNTXG
COSU,USSAV,ESVLC
COSU,VNHPH,HRRJK
COSU,BEANR,AUMEL
COSU,CNFOC,MXZLO
COSU,CNJMN,ALDRZ
COSU,CNNBO,NLRTM
COSU,CNNKG,ALDRZ
COSU,CNNSA,ITNAP
COSU,CNSHA,NZWLG
COSU,CNSHK,PKKHI
COSU,CNTAO,NZAKL
COSU,CNZUH,SADMM
COSU,DEHAM,CNNSA
COSU,DEWVN,CNYTN
COSU,ECGYE,MXZLO
COSU,IDSUB,AUMEL
COSU,IDSUB,ZACPT
COSU,INNSA,ESALG
COSU,INNSA,NZAKL
COSU,JPUKB,AUMEL
COSU,MYPEN,AUMEL
COSU,MYPKG,FRLEH
COSU,NLRTM,AUMEL
COSU,PABLB,COBUN
COSU,PHMNN,ITGOA
COSU,PLGDN,JPOSA
COSU,SIKOP,JPTYO
COSU,THLCH,AEJEA
COSU,TRALI,ITAOI
COSU,USORF,JPTYO
COSU,USORF,KRPUS
COSU,VNVUT,GRSKG
COSU,ZACPT,AUMEL
COSU,BEANR,CLVAP
COSU,BRSSZ,DEHAM
COSU,CNDLC,USLGB
COSU,CNNGB,HNPCR
COSU,CNSHA,BRPNG
COSU,CNSHA,USMIA
COSU,CNTXG,PLGDN
COSU,CNXGA,DEHAM
COSU,CNXMN,NZAKL
COSU,DOCAU,KRPUS
COSU,ESALG,CNSHA
COSU,ESALG,JPUKB
COSU,ESVLC,NZAKL
COSU,ESVLC,NZWLG
COSU,FIHEL,USNYC
COSU,IDJKT,CAVAN
COSU,IDJKT,SGSIN
COSU,INMUN,HRRJK
COSU,INMUN,NZAKL
COSU,INNSA,ITSAL
COSU,INNSA,USOAK
COSU,ITVCE,AUSYD
COSU,KHKOS,AEJEA
COSU,MXVER,TTPOS
COSU,MYPEN,USLGB
COSU,NLRTM,TRMER
COSU,PLGDN,HKHKG
COSU,ROCND,USSAV
COSU,SIKOP,HKHKG
COSU,SIKOP,KRPUS
COSU,AUMEL,VNSGN
COSU,AUSYD,CNNGB
COSU,CNCQI,DEHAM
COSU,CNHAK,AUSYD
COSU,CNJMN,GRPIR
COSU,CNJMN,NZAKL
COSU,CNNGB,FRLEH
COSU,CNNGB,USBOS
COSU,CNNSA,AUMEL
COSU,CNSHA,ITGOA
COSU,CNSHA,PAMIT
COSU,CNTAO,ITVDL
COSU,CNTXG,USNYC
COSU,CNWHI,AUBNE
COSU,CNXMN,NLRTM
COSU,CNZSN,ALDRZ
COSU,DEHAM,CNSJQ
COSU,DEHAM,HKHKG
COSU,DEHAM,KWKWI
COSU,HKHKG,INMAA
COSU,HRRJK,CNDLC
COSU,INMAA,SGSIN
COSU,INMAA,USCHS
COSU,INNSA,TRMER
COSU,INNSA,USTIW
COSU,ITAOI,USNYC
COSU,ITGOA,KRPUS
COSU,JOAQB,OMSOH
COSU,JPNGO,ILASH
COSU,JPOSA,AUSYD
COSU,KRINC,ALDRZ
COSU,LKCMB,AUBNE
COSU,LKCMB,CNHUA
COSU,MYPGU,INNSA
COSU,PECLL,GBLGP
COSU,PLGDN,JPTYO
COSU,PLGDN,VNUIH
COSU,PTLEI,MOMFM
COSU,SGSIN,AEJEA
COSU,SGSIN,SAJED
COSU,SIKOP,BDCGP
COSU,THLCH,GRSKG
COSU,THLCH,INKAT
COSU,TRALI,QAHMD
COSU,USCHS,CNSHA
COSU,USHOU,ILASH
COSU,USLAX,CNSHA
COSU,USLAX,TWTPE
COSU,VNUIH,FRFOS
COSU,AUSYD,JPYOK
COSU,BEANR,AUSYD
COSU,BEANR,JOAQB
COSU,CAHAL,JPTYO
COSU,CNFOC,AUMEL
COSU,CNJMN,EGSOK
COSU,CNNGB,ITSPE
COSU,CNNSA,ALDRZ
COSU,CNSHA,GRSKG
COSU,CNSHA,ITRAN
COSU,CNSHK,HNPCR
COSU,CNSJQ,NZAKL
COSU,CNTXG,ALDRZ
COSU,CNTXG,USHOU
COSU,CNXGA,AUMEL
COSU,CNXMN,ZADUR
COSU,CNZHA,SGSIN
COSU,CNZSN,GBSOU
COSU,COCTG,HNPCR
COSU,DEBRV,CAMTR
COSU,DEBRV,ILASH
COSU,ECPSJ,MXZLO
COSU,GRSKG,ILASH
COSU,IDJKT,USLAX
COSU,INCOK,USLGB
COSU,INMUN,FRFOS
COSU,ITGOA,HKHKG
COSU,ITGOA,MXVER
COSU,KHKOS,CAVAN
COSU,LKCMB,USSEA
COSU,MYPEN,AUFRE
COSU,MYPGU,TRIZT
COSU,PECLL,ECGYE
COSU,PHMNN,AUMEL
COSU,PHMNN,JPTYO
COSU,PKBQM,USORF
COSU,PLGDN,LBBEY
COSU,SEGOT,ILHFA
COSU,SIKOP,NZAKL
COSU,THBKK,GBFXT
COSU,TRALI,ALDRZ
COSU,TRALI,GRPIR
COSU,USLGB,CNNSA
COSU,USNYC,DEBRV
COSU,USNYC,PECLL
COSU,USSAV,ROCND
COSU,AEJEA,ROCND
COSU,AUADL,MYPKG
COSU,BEANR,THLCH
COSU,CAHAL,JPUKB
COSU,CNBIJ,AEJEA
COSU,CNDLC,AUFRE
COSU,CNNGB,ITNAP
COSU,CNNGB,USSAV
COSU,CNNSA,AEJEA
COSU,CNNSA,SIKOP
COSU,CNSHA,BEANR
COSU,CNSHK,SADMM
COSU,CNSUD,DEHAM
COSU,CNTAO,NZLYT
COSU,CNTAO,PLGDN
COSU,CNTXG,GBFXT
COSU,CNXMN,SADMM
COSU,CNYTN,CLSAI
COSU,DEHAM,BRPNG
COSU,DEHAM,CAMTR
COSU,DEHAM,INNSA
COSU,DEHAM,JPTYO
COSU,DEHAM,JPUKB
COSU,EGDAM,AEJEA
COSU,ESVLC,USMIA
COSU,ESVLC,USORF
COSU,FIHEL,MYPKG
COSU,IDSUB,AUBNE
COSU,IDSUB,EGSOK
COSU,IEORK,GRPIR
COSU,ILHFA,GRSKG
COSU,INMAA,USLGB
COSU,INNSA,CLSAI
COSU,ITBRI,USORF
COSU,ITNAP,TRIZM
COSU,JPNGO,SGSIN
COSU,MXLZC,CNSHA
COSU,MXZLO,CNTXG
COSU,MYPEN,NLRTM
COSU,MYPKG,HNPCR
COSU,NLRTM,AUSYD
COSU,PHMNL,GBSOU
COSU,PKKHI,DEHAM
COSU,PKKHI,ESVLC
COSU,PLGDN,AUMEL
COSU,ROCND,JPTYO
COSU,SGSIN,GRSKG
COSU,SIKOP,SAJED
COSU,THLCH,ECGYE
COSU,THLCH,MXZLO
COSU,TRMER,DEHAM
COSU,USCHS,DEBRV
COSU,VNDAD,USLAX
COSU,VNHPH,ITNAP
COSU,VNSGN,AUADL
COSU,VNSGN,NZAKL
COSU,VNSGN,USSEA
COSU,VNVUT,USLAX
COSU,AEJEA,KWKWI
COSU,AUBNE,DEHAM
COSU,AUMEL,FRLEH
COSU,BEANR,PECLL
COSU,CNBIJ,DEHAM
COSU,CNDLC,AUSYD
COSU,CNHAK,AUMEL
COSU,CNNGB,USHOU
COSU,CNNSA,VNSGN
COSU,CNQZH,SIKOP
COSU,CNSHA,ESBIO
COSU,CNSHA,USTPA
COSU,CNTAO,FRLEH
COSU,CNTXG,HNPCR
COSU,CNTXG,USBOS
COSU,CNTXG,USOAK
COSU,CNWUH,CAPRR
COSU,CNXMN,MXZLO
COSU,CNZUH,AUSYD
COSU,CYLMS,GBFXT
COSU,DEBRV,AEJEA
COSU,DEHAM,KWSWK
COSU,DEHAM,TWKHH
COSU,DKFRC,CAMTR
COSU,ESBCN,AUMEL
COSU,ESBCN,INNSA
COSU,FIRAU,USORF
COSU,GBSOU,CNTXG
COSU,HKHKG,AEJEA
COSU,IEORK,CNSHA
COSU,INMAA,BRSSZ
COSU,INMAA,FIHEL
COSU,INMAA,PECLL
COSU,INMAA,USHOU
COSU,INNSA,AUADL
COSU,JOAQB,KWKWI
COSU,JOAQB,TWKEL
COSU,JPNGO,ECGYE
COSU,MXESE,HKHKG
COSU,MYPGU,IEDUB
COSU,NLRTM,CNYTN
COSU,PHGES,FRLEH
COSU,PHMNN,AUFRE
COSU,PHMNN,NZAKL
COSU,PLGDN,EGEDK
COSU,PLGDN,TRYPO
COSU,THLCH,COBUN
COSU,TRALI,AUSYD
COSU,TRALI,ITVCE
COSU,USNYC,CRMOB
COSU,VNHPH,AUBNE
COSU,VNSGN,AEJEA
COSU,VNSGN,ESVLC
COSU,VNVUT,ITRAN
COSU,AUSYD,NZAKL
COSU,BEANR,AUBNE
COSU,BEANR,MYPKG
COSU,BEZEE,AUMEL
COSU,CAVAN,TWKEL
COSU,CNCKG,ZADUR
COSU,CNDLC,QAHMD
COSU,CNJMN,AUMEL
COSU,CNNGB,PAONX
COSU,CNSHA,HNPCR
COSU,CNSHA,SGSIN
COSU,CNSHA,UYMVD
COSU,CNSUD,GBFXT
COSU,CNTXG,AUFRE
COSU,CNTXG,NLRTM
COSU,CNTXG,USLAX
COSU,CNYTN,GBSOU
COSU,DEHAM,AUADL
COSU,DEHAM,VNSGN
COSU,DEWVN,KRINC
COSU,DOCAU,GBLGP
COSU,ESALG,THBKK
COSU,ESBCN,AUADL
COSU,ESBCN,SGSIN
COSU,ESVLC,AUSYD
COSU,ESVLC,JOAQB
COSU,ESVLC,KRPUS
COSU,ESVLC,VNSGN
COSU,FRFOS,AUMEL
COSU,FRFOS,KRPUS
COSU,FRLEH,CNSHA
COSU,FRLEH,NZLYT
COSU,GRPIR,BDCGP
COSU,GRPIR,DKFRC
COSU,HKHKG,DEHAM
COSU,HNPCR,HKHKG
COSU,IDBLW,AUSYD
